"Abzüge für die Rentenversicherung Pflichtbeiträge";"1621 800"
"Abzweigdosen, elektrische Installationsgeräte";"0431 108"
"ACE-Getränke";"0121 003"
"Achsaggregate für Kraftwagen, komplett";"0721 205"
"Achsöl für Fahrräder";"0722 409"
"Achsöl für Kraftfahrzeuge";"0722 409"
"Achsteile für Kraftfahrzeuge";"0721 202"
"Ackerbohnen, frisch oder gekühlt";"0117 300"
"Ackerschlepper";"0551 001"
"Acryl für die Instandhaltung der Wohnung";"0431 108"
"Action-Camcorder";"0911 105"
"Action-Kamera";"0911 105"
"Adapter, Elektroinstallationsmaterial";"0552 204"
"Adoptionsdienstleistungen sozialer Einrichtungen und karitativer Verbände";"1330 900"
"Adressbücher";"0973 004"
"Adventsgestecke, künstlich und natürlich";"1322 000"
"Adventskalender aus Papier, mit Schokolade gefüllt";"0118 509"
"Adventskalender aus Papier, nicht gefüllt";"0973 002"
"Adventskalender mit Tierfutter für Heimtiere";"0932 201"
"Adventskerzen";"0561 903"
"Adventskränze, künstlich";"1322 000"
"Adventskränze aus frischen Tannenzweigen";"1322 000"
"After Shave Rasierwasser";"1312 234"
"Ahornsirup";"0118 202"
"Airbrushstifte, Blopens";"0974 008"
"Akkordeonkoffer";"0951 005"
"Akkordeons, elektronisch";"0951 002"
"Akkordeons, nichtelektronisch";"0951 003"
"Akkordlohn aus einem Arbeits- oder Dienstverhältnis, brutto";"0011 110"
"Akkuladegeräte für Handys";"0819 209"
"Akkuladegeräte für Kameras";"0911 207"
"Akkuladegeräte für spezielle Haushaltsakkus";"0552 204"
"Akku-Lampen für Fahrräder";"0721 308"
"Akkumulatoren/Batterien für allgemeine Zwecke, z.B. Rundfunkempfangsgeräte, Foto- und Filmaufnahmegeräte, Spielwaren, Taschenlampen, Tonbandgeräte, Uhren";"0552 203"
"Akkumulatoren/Batterien für Informations- und Kommunikationstechnik";"0819 209"
"Akkumulatoren für Kraftfahrzeuge";"0721 201"
"Akku-Schrauber";"0551 002"
"Akkus für allgemeine Zwecke";"0552 203"
"Akkus für Informations- und Kommunikationstechnik";"0819 209"
"Aktenkoffer";"1329 113"
"Aktenmappen";"1329 113"
"Aktenordner";"0974 006"
"Aktenschränke (ohne Geldschränke)";"0511 160"
"Aktentaschen";"1329 113"
"Aktenvernichter";"0974 006"
"Aktien, Kauf";"1685 300"
"Aktien, Verkauf";"0071 410"
"Aktienfonds, Anteile, Kauf";"1685 500"
"Aktienfonds, Anteile, Verkauf";"0071 410"
"Akupunkturen, Ambulante Heilbehandlung und medizinische Rehabilitation";"0623 105"
"Alarmanlage auf Kosten der Eigentümerinnen und Eigentümer, werterhöhend";"1663 000"
"Alarmanlagen auf Kosten der Eigentümerinnen oder Eigentümer, Reparaturen an";"1675 100"
"Alarmanlagen auf Kosten der Mieterinnen oder Mieter, Reparaturen an";"0432 002"
"Alarmanlagenreparaturen, Ausgaben der Eigentümerinnen oder Eigentümer";"1675 100"
"Alarmanlagen und -systeme";"0431 200"
"Alarmsysteme, medizinisch, für den Hausgebrauch, Miete für";"0614 000"
"Ale";"0213 001"
"Alimentenzahlungen, Ausgaben, freiwillig";"1643 200"
"Alimentenzahlungen, Ausgaben, gesetzlich und vertraglich";"1643 100"
"Alkohol, für medizinische Zwecke";"0611 120"
"Alkohol, Kraftstoff (auch für Freizeitfahrzeuge)";"0722 308"
"Alkoholfreier Apfelwein, Verzehr in Kantinen, Mensen, a.n.g.";"1112 900"
"Alkoholfreier Apfelwein, Verzehr in Kantinen, Mensen von Hochschulen und Schulen";"1112 100"
"Alkoholfreier Apfelwein, Verzehr Restaurants, Cafés, Bars, mit umfassender Bedienungsleistung";"1111 143"
"Alkoholfreier Apfelwein";"0212 162"
"Alkoholfreier Beerenwein, Verzehr in Kantinen, Mensen, a.n.g";"1112 900"
"Alkoholfreier Beerenwein, Verzehr in Kantinen, Mensen von Hochschulen und Schulen";"1112 100"
"Alkoholfreier Beerenwein, Verzehr in Restaurants, Cafés, Bars, mit umfassender Bedienungsleistung";"1111 143"
"Alkoholfreier Beerenwein";"0212 162"
"Alkoholfreier Branntwein";"0211 030"
"Alkoholfreier Sekt";"0212 142"
"Alkoholfreier Wein, Verzehr in Kantinen, Mensen, a.n.g.";"1112 900"
"Alkoholfreier Wein, Verzehr in Kantinen, Mensen von Hochschulen";"1112 100"
"Alkoholfreier Wein, Verzehr in Restaurants, Cafés, Bars, mit umfassender Bedienungsleistung";"1111 143"
"Alkoholfreier Wein";"0212 162"
"Alkoholfreies Bier, Verzehr in Kantinen, Mensen, a.n.g.";"1112 900"
